Name	Length	EffectiveLength	TPM	NumReads
lcl|NZ_CP020549.1_cds_WP_000691236.1_63	516	266.000	50.826978	287.000
lcl|NZ_CP020549.1_cds_WP_075213698.1_64	1362	1112.000	30.628628	723.000
lcl|NZ_CP020549.1_cds_WP_001809263.1_65	498	248.000	145.502722	766.000
lcl|NZ_CP020549.1_cds_WP_000272773.1_66	816	566.000	74.573686	896.000
lcl|NZ_CP020549.1_cds_WP_000010163.1_67	969	719.000	113.019724	1725.000
lcl|NZ_CP020549.1_cds_68	908	658.000	27.491559	384.000
lcl|NZ_CP020549.1_cds_WP_001842036.1_69	2634	2384.000	87.951930	4451.000
lcl|NZ_CP020549.1_cds_WP_000076500.1_70	438	188.000	215.994875	862.000
lcl|NZ_CP020549.1_cds_WP_000009179.1_71	1011	761.000	26.184829	423.000
lcl|NZ_CP020549.1_cds_WP_000366376.1_72	1170	920.000	133.796766	2613.000
lcl|NZ_CP020549.1_cds_WP_000616164.1_73	771	521.000	135.627441	1500.000
lcl|NZ_CP020549.1_cds_WP_000717456.1_74	993	743.000	119.196381	1880.000
lcl|NZ_CP020549.1_cds_WP_000136447.1_75	234	14.754	1174.973208	368.000
lcl|NZ_CP020549.1_cds_WP_001093075.1_76	231	14.032	2242.633831	668.000
lcl|NZ_CP020549.1_cds_WP_000756776.1_77	195	8.348	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000343888.1_78	894	644.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000837726.1_79	297	48.689	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000698828.1_80	1137	887.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_001232094.1_81	483	233.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000687787.1_82	597	347.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000671990.1_83	492	242.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000668283.1_84	2154	1904.000	346.159173	13991.000
lcl|NZ_CP020549.1_cds_WP_000801627.1_85	1350	1100.000	444.870174	10388.000
lcl|NZ_CP020549.1_cds_WP_000043300.1_86	708	458.000	13.782670	134.000
lcl|NZ_CP020549.1_cds_WP_208912188.1_87	3039	2789.000	8.158168	483.000
lcl|NZ_CP020549.1_cds_WP_208912191.1_88	405	155.000	20.058861	66.000
lcl|NZ_CP020549.1_cds_WP_000220651.1_89	1443	1193.000	8.726616	221.000
lcl|NZ_CP020549.1_cds_WP_000182575.1_90	1023	773.000	14.199415	233.000
lcl|NZ_CP020549.1_cds_WP_000717501.1_91	546	296.000	15.914842	100.000
lcl|NZ_CP020549.1_cds_WP_000894018.1_92	510	260.000	13.588826	75.000
lcl|NZ_CP020549.1_cds_WP_000167080.1_93	1548	1298.000	6.496394	179.000
lcl|NZ_CP020549.1_cds_WP_000772211.1_94	1263	1013.000	14.741574	317.000
lcl|NZ_CP020549.1_cds_WP_001809271.1_95	117	3.947	167.081100	14.000
lcl|NZ_CP020549.1_cds_WP_000805601.1_96	489	239.000	21.878579	111.000
lcl|NZ_CP020549.1_cds_WP_000099055.1_97	1092	842.000	13.259596	237.000
lcl|NZ_CP020549.1_cds_WP_000614703.1_98	228	13.360	571.239844	162.000
lcl|NZ_CP020549.1_cds_WP_000610745.1_99	1299	1049.000	59.457484	1324.000
lcl|NZ_CP020549.1_cds_WP_000679940.1_100	3939	3689.000	11.569473	906.000
lcl|NZ_CP020549.1_cds_WP_001007202.1_101	717	467.000	1104.464110	10949.000
lcl|NZ_CP020549.1_cds_WP_000196553.1_102	1788	1538.000	7.565448	247.000
lcl|NZ_CP020549.1_cds_WP_000156967.1_103	477	227.000	16.186866	78.000
lcl|NZ_CP020549.1_cds_WP_000617001.1_104	906	656.000	7.755574	108.000
lcl|NZ_CP020549.1_cds_WP_000185298.1_105	816	566.000	8.239727	99.000
lcl|NZ_CP020549.1_cds_WP_000167454.1_106	405	155.000	17.323562	57.000
lcl|NZ_CP020549.1_cds_WP_000903560.1_107	1167	917.000	10.582589	206.000
lcl|NZ_CP020549.1_cds_WP_000649428.1_108	1038	788.000	8.309648	139.000
lcl|NZ_CP020549.1_cds_WP_000220709.1_109	855	605.000	54.738638	703.000
lcl|NZ_CP020549.1_cds_WP_000185153.1_110	258	22.871	455.190216	221.000
lcl|NZ_CP020549.1_cds_WP_000695843.1_111	237	15.531	956.675302	315.401
lcl|NZ_CP020549.1_cds_WP_224782640.1_112	234	14.754	41.507206	13.000
lcl|NZ_CP020549.1_cds_113	183	7.236	52.082532	8.000
lcl|NZ_CP020549.1_cds_WP_000614999.1_114	765	515.000	155.410437	1699.000
lcl|NZ_CP020549.1_cds_WP_000897727.1_115	1380	1130.000	170.380633	4087.000
lcl|NZ_CP020549.1_cds_WP_001283896.1_116	666	416.000	319.677139	2823.000
lcl|NZ_CP020549.1_cds_WP_000771898.1_117	540	290.000	70.986779	437.000
lcl|NZ_CP020549.1_cds_WP_000291598.1_118	411	161.000	101.823354	348.000
lcl|NZ_CP020549.1_cds_119	921	671.000	8.354462	119.000
lcl|NZ_CP020549.1_cds_WP_179131941.1_120	407	157.000	82.513892	275.000
lcl|NZ_CP020549.1_cds_WP_000542024.1_121	333	83.038	17.586534	31.000
lcl|NZ_CP020549.1_cds_WP_000520642.1_122	699	449.000	49.625950	473.000
lcl|NZ_CP020549.1_cds_WP_000769768.1_123	1053	803.000	54.265052	925.000
lcl|NZ_CP020549.1_cds_WP_000092756.1_124	612	362.000	1428.333294	10976.000
lcl|NZ_CP020549.1_cds_WP_001818684.1_125	261	24.250	2653.585125	1366.000
lcl|NZ_CP020549.1_cds_WP_001809441.1_126	222	12.150	2054.866178	530.000
lcl|NZ_CP020549.1_cds_WP_000714582.1_127	930	680.000	5.611386	81.000
lcl|NZ_CP020549.1_cds_WP_001075102.1_128	924	674.000	6.360270	91.000
lcl|NZ_CP020549.1_cds_WP_000800407.1_129	1476	1226.000	4.687739	122.000
lcl|NZ_CP020549.1_cds_WP_001030014.1_130	987	737.000	520.424394	8142.000
lcl|NZ_CP020549.1_cds_131	821	571.000	12.127611	147.000
lcl|NZ_CP020549.1_cds_WP_000808456.1_132	1065	815.000	72.482633	1254.000
lcl|NZ_CP020549.1_cds_WP_001233696.1_133	912	662.000	79.343419	1115.000
lcl|NZ_CP020549.1_cds_WP_000198697.1_134	594	344.000	53.544189	391.000
lcl|NZ_CP020549.1_cds_WP_000273864.1_135	327	77.082	95.338212	156.000
lcl|NZ_CP020549.1_cds_WP_000744892.1_136	1167	917.000	32.980689	642.000
lcl|NZ_CP020549.1_cds_WP_000096198.1_137	1158	908.000	57.484128	1108.000
lcl|NZ_CP020549.1_cds_WP_001035700.1_138	1851	1601.000	94.922040	3226.000
lcl|NZ_CP020549.1_cds_WP_000200894.1_139	633	383.000	166.661219	1355.000
lcl|NZ_CP020549.1_cds_WP_000500040.1_140	873	623.000	40.983144	542.000
lcl|NZ_CP020549.1_cds_WP_000838917.1_141	672	422.000	95.332164	854.000
lcl|NZ_CP020549.1_cds_WP_000836450.1_142	588	338.000	2399.159545	17214.000
lcl|NZ_CP020549.1_cds_WP_001268178.1_143	864	614.000	0.126105	1.644
lcl|NZ_CP020549.1_cds_WP_001108797.1_144	588	338.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000227118.1_145	249	19.269	237.138353	97.000
lcl|NZ_CP020549.1_cds_WP_000723959.1_146	2109	1859.000	15.559048	614.000
lcl|NZ_CP020549.1_cds_WP_000571330.1_147	642	392.000	34.730082	289.000
lcl|NZ_CP020549.1_cds_WP_001038475.1_148	807	557.000	8.288290	98.000
lcl|NZ_CP020549.1_cds_WP_000031925.1_149	1197	947.000	12.933540	260.000
lcl|NZ_CP020549.1_cds_WP_001107614.1_150	1392	1142.000	11.055101	268.000
lcl|NZ_CP020549.1_cds_WP_001189286.1_151	321	71.167	79.667691	120.356
lcl|NZ_CP020549.1_cds_WP_000424430.1_152	372	122.000	437.485730	1133.000
lcl|NZ_CP020549.1_cds_WP_012291603.1_153	213	10.625	580.840252	131.000
lcl|NZ_CP020549.1_cds_WP_012291594.1_154	1059	809.000	39.421594	677.000
lcl|NZ_CP020549.1_cds_WP_012291592.1_155	978	728.000	33.777940	522.000
lcl|NZ_CP020549.1_cds_WP_000424474.1_156	375	125.000	332.016608	881.000
lcl|NZ_CP020549.1_cds_WP_000511668.1_157	183	7.236	208.330127	32.000
lcl|NZ_CP020549.1_cds_WP_000619757.1_158	903	653.000	20.992968	291.000
lcl|NZ_CP020549.1_cds_WP_000424404.1_159	354	104.002	51.183790	113.000
lcl|NZ_CP020549.1_cds_WP_000072918.1_160	729	479.000	15.833772	161.000
lcl|NZ_CP020549.1_cds_WP_073176647.1_161	192	8.045	808.099126	138.000
lcl|NZ_CP020549.1_cds_WP_000770319.1_162	240	16.366	40.297829	14.000
lcl|NZ_CP020549.1_cds_WP_208912193.1_163	1479	1229.000	19.755245	515.395
lcl|NZ_CP020549.1_cds_164	189	7.759	4092.001004	674.000
lcl|NZ_CP020549.1_cds_WP_044811989.1_165	1122	872.000	151.155954	2798.000
lcl|NZ_CP020549.1_cds_WP_000193609.1_166	456	206.000	116.397752	509.000
lcl|NZ_CP020549.1_cds_WP_000639152.1_167	1914	1664.000	51.920641	1834.000
lcl|NZ_CP020549.1_cds_WP_000331980.1_168	1680	1430.000	337.958228	10259.000
lcl|NZ_CP020549.1_cds_WP_000639579.1_169	234	14.754	3706.912755	1161.000
lcl|NZ_CP020549.1_cds_WP_000282479.1_170	216	11.099	50.933313	12.000
lcl|NZ_CP020549.1_cds_WP_000974047.1_171	153	5.322	991.437374	112.000
lcl|NZ_CP020549.1_cds_WP_000180803.1_172	186	7.490	2169.850478	345.000
lcl|NZ_CP020549.1_cds_WP_000865689.1_173	684	434.000	35.819395	330.000
lcl|NZ_CP020549.1_cds_WP_000569827.1_174	438	188.000	102.484807	409.000
lcl|NZ_CP020549.1_cds_WP_000655066.1_175	1011	761.000	49.336428	797.000
lcl|NZ_CP020549.1_cds_176	1307	1057.000	6.016623	135.000
lcl|NZ_CP020549.1_cds_177	695	445.000	10.797773	102.000
lcl|NZ_CP020549.1_cds_WP_001200043.1_178	1206	956.000	8.426209	171.000
lcl|NZ_CP020549.1_cds_WP_000375708.1_179	954	704.000	5.687747	85.000
lcl|NZ_CP020549.1_cds_WP_000288029.1_180	1617	1367.000	6.375250	185.000
lcl|NZ_CP020549.1_cds_181	226	12.937	21.847517	6.000
lcl|NZ_CP020549.1_cds_182	749	499.000	5.192257	55.000
lcl|NZ_CP020549.1_cds_WP_001017604.1_183	1173	923.000	3.266422	64.000
lcl|NZ_CP020549.1_cds_WP_000570717.1_184	864	614.000	39.435630	514.000
lcl|NZ_CP020549.1_cds_WP_000933470.1_185	198	8.670	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000720788.1_186	666	416.000	860.965387	7603.000
lcl|NZ_CP020549.1_cds_WP_000862401.1_187	1227	977.000	836.322487	17345.000
lcl|NZ_CP020549.1_cds_WP_001141657.1_188	657	407.000	27.431400	237.000
lcl|NZ_CP020549.1_cds_WP_000253918.1_189	324	74.118	50.846544	80.000
lcl|NZ_CP020549.1_cds_WP_000724951.1_190	831	581.000	562.781673	6941.000
lcl|NZ_CP020549.1_cds_WP_000694512.1_191	855	605.000	159.544052	2049.000
lcl|NZ_CP020549.1_cds_WP_000231787.1_192	1374	1124.000	37.971340	906.000
lcl|NZ_CP020549.1_cds_WP_000085685.1_193	1062	812.000	85.339615	1471.000
lcl|NZ_CP020549.1_cds_WP_000444642.1_194	693	443.000	94.853893	892.000
lcl|NZ_CP020549.1_cds_WP_000748382.1_195	570	320.000	75.667114	514.000
lcl|NZ_CP020549.1_cds_WP_000532354.1_196	615	365.000	51.883256	402.000
lcl|NZ_CP020549.1_cds_WP_171011731.1_197	1647	1397.000	36.620768	1086.000
lcl|NZ_CP020549.1_cds_WP_000278869.1_198	1287	1037.000	65.823908	1449.000
lcl|NZ_CP020549.1_cds_WP_000729029.1_199	534	284.000	284.638062	1716.000
lcl|NZ_CP020549.1_cds_WP_000849621.1_200	471	221.000	222.323855	1043.000
lcl|NZ_CP020549.1_cds_WP_001828426.1_201	1347	1097.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000075789.1_202	1263	1013.000	32.738385	704.000
lcl|NZ_CP020549.1_cds_WP_000745054.1_203	459	209.000	18.031744	80.000
lcl|NZ_CP020549.1_cds_WP_000861965.1_204	441	191.000	13.565111	55.000
lcl|NZ_CP020549.1_cds_WP_000018171.1_205	1950	1700.000	72.795609	2627.000
lcl|NZ_CP020549.1_cds_WP_001099502.1_206	468	218.000	57.264228	265.000
lcl|NZ_CP020549.1_cds_WP_000456639.1_207	1206	956.000	23.553966	478.000
lcl|NZ_CP020549.1_cds_WP_000493845.1_208	636	386.000	21.601305	177.000
lcl|NZ_CP020549.1_cds_WP_001284091.1_209	1101	851.000	13.285433	240.000
lcl|NZ_CP020549.1_cds_WP_000271487.1_210	594	344.000	57.378556	419.000
lcl|NZ_CP020549.1_cds_WP_000166590.1_211	564	314.000	68.411518	456.000
lcl|NZ_CP020549.1_cds_WP_000987438.1_212	678	428.000	32.579317	296.000
lcl|NZ_CP020549.1_cds_WP_000255120.1_213	1032	782.000	37.409240	621.000
lcl|NZ_CP020549.1_cds_WP_000078024.1_214	684	434.000	207.426858	1911.000
lcl|NZ_CP020549.1_cds_WP_000815629.1_215	945	695.000	178.739015	2637.000
lcl|NZ_CP020549.1_cds_WP_000704664.1_216	1167	917.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_001233766.1_217	1515	1265.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_001107589.1_218	714	464.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_219	230	13.802	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000424665.1_220	627	377.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000141100.1_221	453	203.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000174331.1_222	201	9.012	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_001003774.1_223	216	11.099	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000058832.1_224	342	92.011	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000492137.1_225	282	36.744	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000158192.1_226	867	617.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000434361.1_227	1470	1220.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000865230.1_228	168	6.156	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000173130.1_229	531	281.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000811078.1_230	510	260.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_001816190.1_231	420	170.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_001152892.1_232	2832	2582.000	61.174629	3353.000
lcl|NZ_CP020549.1_cds_WP_001042850.1_233	1062	812.000	96.072333	1656.000
lcl|NZ_CP020549.1_cds_WP_000591165.1_234	399	149.000	1239.349591	3920.000
lcl|NZ_CP020549.1_cds_WP_000725150.1_235	570	320.000	226.559706	1539.000
lcl|NZ_CP020549.1_cds_WP_000507059.1_236	267	27.299	4417.529227	2560.000
lcl|NZ_CP020549.1_cds_WP_001808830.1_237	420	170.000	1273.022557	4594.000
lcl|NZ_CP020549.1_cds_WP_000017620.1_238	306	56.785	4030.101301	4858.000
lcl|NZ_CP020549.1_cds_WP_000464327.1_239	1251	1001.000	49.413914	1050.000
lcl|NZ_CP020549.1_cds_WP_000769490.1_240	456	206.000	248.117015	1085.000
lcl|NZ_CP020549.1_cds_WP_000877334.1_241	1533	1283.000	36.349846	990.000
lcl|NZ_CP020549.1_cds_WP_000956126.1_242	144	4.909	911.706972	95.000
lcl|NZ_CP020549.1_cds_WP_000118089.1_243	1539	1289.000	83.690584	2290.000
lcl|NZ_CP020549.1_cds_WP_000560899.1_244	2208	1958.000	39.842050	1656.000
lcl|NZ_CP020549.1_cds_WP_000521633.1_245	141	4.783	994.762939	101.000
lcl|NZ_CP020549.1_cds_WP_000423422.1_246	507	257.000	17.963336	98.000
lcl|NZ_CP020549.1_cds_WP_001064220.1_247	591	341.000	31.221092	226.000
lcl|NZ_CP020549.1_cds_WP_000725987.1_248	618	368.000	31.234607	244.000
lcl|NZ_CP020549.1_cds_WP_001284513.1_249	309	59.592	3629.981717	4592.000
lcl|NZ_CP020549.1_cds_WP_000160197.1_250	627	377.000	962.776153	7705.000
lcl|NZ_CP020549.1_cds_WP_000024543.1_251	624	374.000	744.280121	5909.000
lcl|NZ_CP020549.1_cds_WP_001055347.1_252	297	48.689	4558.976863	4712.000
lcl|NZ_CP020549.1_cds_WP_000512911.1_253	834	584.000	1073.399389	13307.000
lcl|NZ_CP020549.1_cds_WP_000533766.1_254	282	36.744	9344.917014	7289.000
lcl|NZ_CP020549.1_cds_WP_000818137.1_255	345	95.007	4144.706923	8359.000
lcl|NZ_CP020549.1_cds_WP_000529936.1_256	654	404.000	1629.771174	13977.000
lcl|NZ_CP020549.1_cds_WP_000960946.1_257	414	164.000	3762.027874	13097.000
lcl|NZ_CP020549.1_cds_WP_000772918.1_258	207	9.766	16048.368989	3327.000
lcl|NZ_CP020549.1_cds_WP_000440801.1_259	261	24.250	9559.511274	4921.000
lcl|NZ_CP020549.1_cds_WP_000616545.1_260	369	119.000	2520.865793	6368.000
lcl|NZ_CP020549.1_cds_WP_000497691.1_261	306	56.785	3532.353096	4258.000
lcl|NZ_CP020549.1_cds_WP_000013542.1_262	543	293.000	1468.706315	9135.000
lcl|NZ_CP020549.1_cds_WP_001085703.1_263	270	28.977	4864.077415	2992.000
lcl|NZ_CP020549.1_cds_WP_000245505.1_264	399	149.000	3575.776498	11310.000
lcl|NZ_CP020549.1_cds_WP_000086630.1_265	537	287.000	2297.783717	13999.000
lcl|NZ_CP020549.1_cds_WP_000624044.1_266	357	107.001	2750.726188	6248.000
lcl|NZ_CP020549.1_cds_WP_000874201.1_267	495	245.000	2077.555896	10805.000
lcl|NZ_CP020549.1_cds_WP_000057241.1_268	183	7.236	20019.223153	3075.000
lcl|NZ_CP020549.1_cds_WP_000766087.1_269	441	191.000	1452.700069	5890.000
lcl|NZ_CP020549.1_cds_WP_208912196.1_270	1293	1043.000	660.911179	14633.000
lcl|NZ_CP020549.1_cds_WP_001050431.1_271	639	389.000	65.636243	542.000
lcl|NZ_CP020549.1_cds_WP_001029883.1_272	219	11.606	17404.128091	4288.000
lcl|NZ_CP020549.1_cds_WP_001808836.1_273	117	3.947	35349.586962	2962.000
lcl|NZ_CP020549.1_cds_WP_000090781.1_274	366	116.000	3615.527713	8903.000
lcl|NZ_CP020549.1_cds_WP_001118385.1_275	384	134.000	1495.852525	4255.000
lcl|NZ_CP020549.1_cds_WP_000568988.1_276	936	686.000	1088.770049	15855.000
lcl|NZ_CP020549.1_cds_WP_000331493.1_277	387	137.000	1682.819047	4894.000
lcl|NZ_CP020549.1_cds_WP_000644124.1_278	267	27.299	495.246441	287.000
lcl|NZ_CP020549.1_cds_WP_000354917.1_279	1338	1088.000	95.038520	2195.000
lcl|NZ_CP020549.1_cds_WP_000241540.1_280	693	443.000	160.783729	1512.000
lcl|NZ_CP020549.1_cds_281	1653	1403.000	4.969333	148.000
lcl|NZ_CP020549.1_cds_WP_001289367.1_282	1092	842.000	5.315028	95.000
lcl|NZ_CP020549.1_cds_283	1122	872.000	11.885029	220.000
lcl|NZ_CP020549.1_cds_WP_001808840.1_284	198	8.670	152.141725	28.000
lcl|NZ_CP020549.1_cds_WP_001199237.1_285	234	14.754	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_001842052.1_286	228	13.360	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000581380.1_287	384	134.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_000406171.1_288	777	527.000	12.514441	140.000
lcl|NZ_CP020549.1_cds_WP_000824966.1_289	747	497.000	33.743307	356.000
lcl|NZ_CP020549.1_cds_WP_001070840.1_290	981	731.000	30.546046	474.000
lcl|NZ_CP020549.1_cds_WP_000402908.1_291	321	71.167	13.900566	21.000
lcl|NZ_CP020549.1_cds_WP_000238716.1_292	309	59.592	26.877042	34.000
lcl|NZ_CP020549.1_cds_WP_001096827.1_293	1299	1049.000	10.508347	234.000
lcl|NZ_CP020549.1_cds_WP_000248305.1_294	2439	2189.000	12.417212	577.000
lcl|NZ_CP020549.1_cds_WP_000395432.1_295	669	419.000	13.154243	117.000
lcl|NZ_CP020549.1_cds_WP_001217828.1_296	1089	839.000	19.202518	342.000
lcl|NZ_CP020549.1_cds_WP_000011744.1_297	2502	2252.000	92.835257	4438.000
lcl|NZ_CP020549.1_cds_WP_001081167.1_298	843	593.000	0.000000	0.000
lcl|NZ_CP020549.1_cds_WP_001144904.1_299	696	446.000	37.918716	359.000
lcl|NZ_CP020549.1_cds_WP_000628384.1_300	417	167.000	42.594596	151.000
lcl|NZ_CP020549.1_cds_WP_000970381.1_301	93	3.333	2091.695137	148.000
lcl|NZ_CP020549.1_cds_WP_000502087.1_302	972	722.000	84.885622	1301.000
lcl|NZ_CP020549.1_cds_WP_001098890.1_303	573	323.000	86.923613	596.000
lcl|NZ_CP020549.1_cds_WP_000466719.1_304	759	509.000	196.946322	2128.000
lcl|NZ_CP020549.1_cds_WP_000189857.1_305	804	554.000	118.790217	1397.000
lcl|NZ_CP020549.1_cds_WP_000900660.1_306	1260	1010.000	172.480327	3698.000
lcl|NZ_CP020549.1_cds_WP_000814070.1_307	1854	1604.000	263.528346	8973.000
lcl|NZ_CP020549.1_cds_WP_000943517.1_308	1380	1130.000	31.433080	754.000
lcl|NZ_CP020549.1_cds_WP_000334264.1_309	1809	1559.000	106.363001	3520.000
lcl|NZ_CP020549.1_cds_WP_000229756.1_310	1050	800.000	193.142519	3280.000
lcl|NZ_CP020549.1_cds_WP_001232781.1_311	3864	3614.000	10.284493	789.000
lcl|NZ_CP020549.1_cds_WP_001142327.1_312	414	164.000	2563.360827	8924.000
lcl|NZ_CP020549.1_cds_WP_000087873.1_313	471	221.000	1831.027724	8590.000
